id	org
394	Security Printing and Minting Corporation of India Limited (SPMCIL)
1288	Society For Applied Microwav Electronics engg. and Research (SAMEER)
652	South Central Railway
155	South Eastern Coalfields Limited
625	South Eastern Railway
700	South Western Railway
1190	Southern Naval Command, Kochi
104	Sports Department
235	State Bank of Bikaner and Jaipur
1416	State Bank of Hyderabad
1411	State Bank of India, Coimbatore
1577	State Bank of India, Stressed Assets Management Group
1476	State Bank Of India,Nagpur
1400	State Bank Of Mysore
206	State Bank of Patiala
1752	State Bank of Trvancore
1509	State Institute for Educational Management and Training
696	State Police Hdqrs Odisha Cuttack
1508	State Project management Group National Ganga River Basin Authority
149	State Trading Corporation of India
1051	Station Head Quarters Military Station Suratgarh
1177	Steel Authority of India Ltd
1183	Steel Authority of India Ltd (SAIL)- Bhilai Steel Plant, Bhilai
1695	Supreme Court Of India
1434	Syndicate Bank
41	Technical Education, Chandigarh
1003	The Commodore Bureau of Sailors
1327	The South India Textile Research Association
902	Transport Department Haryana
1576	Tripura Fire Service
1646	Tripura Forest Development and Plantation Corporation Ltd
1435	TRIPURA HOUSING AND CONSTRUCTION BOARD
781	Tripura Police
819	Tripura Renewable Energy Development Agency
802	Tripura State Electricity Corporation Ltd
1464	Tripura Tribal Areas Autonomous District Council
1402	UCO BANK
1403	Union bank of India (UBI)
143	United Bank of India
829	UT Administration Chandigarh
1746	UTI Infrastructure Technology And Services Ltd
1656	Uttarakhand Co operative Dairy Federation Ltd
1360	Uttarakhand Cooperative Sugar Factories Ltd
1359	Uttarakhand Judicial and Legal Academy
1307	Uttarakhand Renewable Energy Development Agency
1323	Uttarakhand State Infrastructure Development Corporation Limited
1568	Uttarakhand Tea Development Board Almora
1322	Uttarakhand Transport Corporation
524	V O Chidambaranar Port Trust
1478	Vidhan Sabha Secretariat
162	Vijaya Bank
1766	Weapon Equipment Depot Kochi
1207	Weapon Equipment Depot Mumbai
1106	Webel Technology LImited
1333	West Bengal Medical Services Corporation Limited
660	West Central Railway
520	Western Coalfields Limited
582	World Bank Project , Orissa State Road Projects

